variant,seed,checkpoint,score_main,tstr_macro_f1,disc_auc_gap,unconditional_w1,conditional_w1,train_seconds,eval_seconds
local_causal_ot,0,2000,0.3872658235712296,0.2977250934717976,0.22077995891076077,0.25804153039681427,0.4905489465744696,476.4184944629669,53.57614874839783
local_causal_ot,0,4000,0.3624082836978922,0.3251662793634254,0.16039595255202369,0.2362400776592791,0.4970502476608451,897.9633059501648,53.620002031326294
local_causal_ot,0,8000,0.3466295867859999,0.32401389995271335,0.1245574866311359,0.21292319074229824,0.48470852938408243,1686.0144336223602,53.61512088775635
local_causal_ot,0,12000,0.34834579267360466,0.3291952689374338,0.13173172435685732,0.23511343793025816,0.46476104837264115,2472.9792976379395,53.579737186431885
local_causal_ot,0,16000,0.3463356089723375,0.3336330640137124,0.11480829832971355,0.23241667581795677,0.4859992509845729,3272.2492496967316,56.51280355453491
local_causal_ot,0,20000,0.3625525640383635,0.2907813817949885,0.15353521419145214,0.23898280988067433,0.45270564265905405,4081.6268310546875,56.255488872528076
local_causal_ot,1,1000,0.3766742846719233,0.31110389416187106,0.158744868470546,0.2267900169131836,0.5782742418317111,239.20749187469482,53.73091793060303
local_causal_ot,1,2000,0.35779463817151536,0.29873609386616956,0.13547666410503753,0.19199386057799558,0.5231539126972794,477.6235468387604,53.68937063217163
local_causal_ot,1,4000,0.3989212578303108,0.24825021554705426,0.1791791635851224,0.25260248972853927,0.5538308929663964,899.8800117969513,53.714521169662476
local_causal_ot,1,8000,0.37394830284658304,0.27884691752585783,0.17642477888524408,0.2149380416310537,0.4993746048345999,1689.0187423229218,53.639914751052856
local_causal_ot,1,12000,0.37405432607209815,0.28717508607445513,0.14687502580601505,0.24088332269129617,0.5241943917633752,2477.2987844944,53.648446798324585
local_causal_ot,1,16000,0.3684720219121396,0.3151711268857971,0.14430604829274696,0.27078605966178104,0.5003933934957597,3280.3904478549957,56.57059097290039
local_causal_ot,1,20000,0.3660973789976086,0.29099352262526673,0.1793805848107047,0.22323067392013404,0.4564922689926119,4096.213335752487,56.55807614326477
local_causal_ot,2,1000,0.3899561518938283,0.3044741915282328,0.16041946869949575,0.25013249934113896,0.6206338315599463,246.3833680152893,56.447112798690796
local_causal_ot,2,2000,0.37633314285593605,0.2837020460270405,0.19096623849804817,0.22177324457750225,0.4892332251064593,492.44151759147644,56.463247299194336
local_causal_ot,2,4000,0.35927797742257045,0.26454395275502923,0.13223456724756621,0.1834295257187264,0.4955807303888582,927.2499768733978,56.42551636695862
local_causal_ot,2,8000,0.36654817993095906,0.32461105173625127,0.20576089317405222,0.2203032828782572,0.4744969296267509,1722.4467084407806,53.53206491470337
local_causal_ot,2,12000,0.3674667627980783,0.28132494474148323,0.15171879919580908,0.2287598621797735,0.4827236229142106,2510.0435104370117,53.64060020446777
local_causal_ot,2,16000,0.3921469120407799,0.2678921590152939,0.16932215689639066,0.2740264969498398,0.5308825314956162,3298.5710492134094,53.63086652755737
local_causal_ot,2,20000,0.36787756877880334,0.2933091627668161,0.1388951269659742,0.24874031965455523,0.4979073292482534,4090.515920639038,53.64864253997803
conditional_current_matching,0,1000,0.3674973145139642,0.32243906423024143,0.14707729548445445,0.19704446893284966,0.5952967992527972,159.22661805152893,53.71653151512146
conditional_current_matching,0,2000,0.3805957319699347,0.29310032726667035,0.2047428797124418,0.24070231731913574,0.4880148477795038,318.202189207077,53.715129375457764
conditional_current_matching,0,4000,0.358467484246082,0.32631677885477345,0.14447367347740625,0.23543457315467006,0.5003561954475143,582.4489529132843,53.70098042488098
conditional_current_matching,0,8000,0.35103938840007776,0.31391615898067343,0.14866272153543084,0.203404230567756,0.4708211795673609,1057.4578123092651,53.72590446472168
conditional_current_matching,0,12000,0.34166148618155634,0.3356308082386629,0.1170021490660812,0.22779062090178037,0.4656052324764755,1532.2977645397186,53.127400159835815
conditional_current_matching,0,16000,0.32963706718726676,0.3444265614070059,0.0816803582871732,0.20904440949857342,0.4807268596760723,2008.3181273937225,53.244872093200684
conditional_current_matching,0,20000,0.36091801768744,0.29573446768662265,0.15958293753951944,0.23719802974820903,0.44352583053281985,2488.1504278182983,53.117175340652466
conditional_current_matching,1,1000,0.3751999948161422,0.29792112395639947,0.16097911771546577,0.19647343954178195,0.5836393035421915,158.63067197799683,53.156085729599
conditional_current_matching,1,2000,0.36558151000032874,0.3057153065525741,0.15842817356610306,0.20955705376147912,0.524057329238568,317.23064613342285,53.150981426239014
