variant,seed,checkpoint,score_main,tstr_macro_f1,disc_auc_gap,unconditional_w1,conditional_w1,train_seconds,eval_seconds
local_causal_ot,0,12000,0.4834795017789187,0.3104136667183064,0.4968717589928737,0.4453956024616405,0.4618828728003866,3276.6427047252655,148.83375024795532
local_causal_ot,0,16000,0.4805920761912421,0.3539530033478169,0.4924958156537289,0.47080559682468587,0.491163486928873,4270.687771320343,148.7588906288147
local_causal_ot,0,20000,0.48587386806807603,0.3245555761294118,0.4951718485014833,0.46157123279593737,0.48332471685049855,5268.520669698715,148.73308610916138
local_causal_ot,1,1000,0.528605910733369,0.2807557797605668,0.4995311493648784,0.5110408244262975,0.6211066053033792,360.06110858917236,148.72366976737976
local_causal_ot,1,2000,0.5029787221502979,0.27357150254402945,0.49858216925945614,0.45921655799770916,0.5059400176079619,719.7479252815247,148.59188103675842
local_causal_ot,1,4000,0.46901887985822305,0.323558346840305,0.4953447499586641,0.41263620759869973,0.4320626330839133,1290.5583510398865,148.51269721984863
local_causal_ot,1,8000,0.48526542178982623,0.2979164774857329,0.49393381530069674,0.44369881163839775,0.4602704258348252,2283.7704241275787,148.58920073509216
local_causal_ot,1,12000,0.49964935120500725,0.3154216269927539,0.4861913782286877,0.5012451026664376,0.526950530103877,3280.6972811222076,152.27339696884155
local_causal_ot,1,16000,0.48574332108193863,0.31325303478692385,0.49805041540318723,0.4490837240955525,0.47504159427200293,4284.37840461731,150.64690589904785
local_causal_ot,1,20000,0.49056212667652216,0.29788785382224164,0.49690764411697597,0.45633504677027714,0.47455243562617805,5282.102214574814,148.43230366706848
local_causal_ot,2,1000,0.5540289953721178,0.24648728647208332,0.4972166854610127,0.5809606680402398,0.6610229180046778,359.69233775138855,148.45869731903076
local_causal_ot,2,2000,0.49314615702969694,0.2766578286561061,0.4988171594077693,0.4405410499859976,0.47100614548459485,719.0464942455292,148.47536301612854
local_causal_ot,2,4000,0.4986588609058185,0.2843183602029192,0.49854105091517703,0.4647844291104167,0.49002802718426314,1288.83687210083,148.42036938667297
local_causal_ot,2,8000,0.47429361333818915,0.33652191919377666,0.4938388825923288,0.43775996325279753,0.4584308879913648,2281.135727405548,148.424143075943
local_causal_ot,2,12000,0.47310020014820386,0.36009365259529397,0.49836633118319273,0.4402275661850537,0.4765028876266994,3272.935371875763,148.48351621627808
